2022-05-14 22:05:849 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:515 INFO  LoginPage :45 - Getting welcome text [[ChromeDriver: chrome on WINDOWS (cbdb76d8e84e3d7ed91b3a8cbc78c4ce)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]<br>
2022-05-15 11:05:26 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 11:05:642 INFO  HomePage :52 - Clicking on login link [[ChromeDriver: chrome on WINDOWS (3d1fa8a823d01f6072dd80d7543e68ff)] -> link text: Log in]<br>
2022-05-15 11:05:106 INFO  LoginPage :52 - Enter email primefivetest@yahoo.com to email field [[ChromeDriver: chrome on WINDOWS (3d1fa8a823d01f6072dd80d7543e68ff)] -> id: Email]<br>
2022-05-15 11:05:165 INFO  LoginPage :58 - Enter password abc123 to password field [[ChromeDriver: chrome on WINDOWS (3d1fa8a823d01f6072dd80d7543e68ff)] -> name: Password]<br>
2022-05-15 11:05:531 INFO  LoginPage :64 - Clicking on Login Button <br>
2022-05-15 11:05:845 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 11:05:977 INFO  HomePage :52 - Clicking on login link [[ChromeDriver: chrome on WINDOWS (5d1c9ca9c10a479aa05a50d6093e94cf)] -> link text: Log in]<br>
2022-05-15 11:05:435 INFO  LoginPage :52 - Enter email rl123456@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (5d1c9ca9c10a479aa05a50d6093e94cf)] -> id: Email]<br>
2022-05-15 11:05:491 INFO  LoginPage :58 - Enter password rl12345 to password field [[ChromeDriver: chrome on WINDOWS (5d1c9ca9c10a479aa05a50d6093e94cf)] -> name: Password]<br>
2022-05-15 11:05:852 INFO  LoginPage :64 - Clicking on Login Button <br>
2022-05-15 12:05:217 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 12:05:770 INFO  HomePage :65 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (1b6e19690739439270805dd7226f000e)] -> link text: Register]<br>
2022-05-15 12:05:288 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 12:05:856 INFO  HomePage :65 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (f5e436fde9e1d2e4346d2ca49fd2b062)] -> link text: Register]<br>
2022-05-15 12:05:315 INFO  RegisterPage :94 - Get registerText : RegisterRegister
2022-05-15 12:05:582 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 12:05:86 INFO  HomePage :65 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (44321d0c34774ac81703d9b575a5f7b8)] -> link text: Register]<br>
2022-05-15 12:05:510 INFO  RegisterPage :148 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (44321d0c34774ac81703d9b575a5f7b8)] -> css selector: #register-button]
2022-05-15 12:05:481 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 12:05:989 INFO  HomePage :65 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (e1d431b86b0cf7f46d3e31f39d5fa431)] -> link text: Register]<br>
2022-05-15 12:05:456 INFO  RegisterPage :94 - Get registerText : RegisterRegister
2022-05-15 12:05:437 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 12:05:994 INFO  HomePage :65 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (8c277428da0132619ab304394cbc7d6e)] -> link text: Register]<br>
2022-05-15 12:05:414 INFO  RegisterPage :148 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (8c277428da0132619ab304394cbc7d6e)] -> css selector: #register-button]
2022-05-15 12:05:847 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 12:05:632 INFO  HomePage :65 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (a63c3b7736962aa22d0cbc08efb1a25d)] -> link text: Register]<br>
2022-05-15 12:05:113 INFO  RegisterPage :112 - Enter Firstname : 'Ron' to firstName field
2022-05-15 12:05:183 INFO  RegisterPage :118 - Enter Lastname : 'Jira' to lastName field
2022-05-15 12:05:364 INFO  RegisterPage :125 - Select day : '9', month : 'November', year : '1992'<br>
2022-05-15 12:05:377 INFO  RegisterPage :129 - Enter Email : 'rl111111111@gmail.com' to email field[[ChromeDriver: chrome on WINDOWS (a63c3b7736962aa22d0cbc08efb1a25d)] -> name: Email]
2022-05-15 12:05:439 INFO  RegisterPage :136 - Enter Password : [[ChromeDriver: chrome on WINDOWS (a63c3b7736962aa22d0cbc08efb1a25d)] -> id: Password]
2022-05-15 12:05:496 INFO  RegisterPage :143 - Enter Confirm password : [[ChromeDriver: chrome on WINDOWS (a63c3b7736962aa22d0cbc08efb1a25d)] -> id: ConfirmPassword]
2022-05-15 12:05:908 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 12:05:481 INFO  HomePage :65 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (6d328df57bde39e61cbcab7c594f2f89)] -> link text: Register]<br>
2022-05-15 12:05:992 INFO  RegisterPage :112 - Enter Firstname : 'Ron' to firstName field
2022-05-15 12:05:61 INFO  RegisterPage :118 - Enter Lastname : 'Jira' to lastName field
2022-05-15 12:05:231 INFO  RegisterPage :125 - Select day : '9', month : 'November', year : '1992'<br>
2022-05-15 12:05:245 INFO  RegisterPage :129 - Enter Email : 'rl111111111@gmail.com' to email field[[ChromeDriver: chrome on WINDOWS (6d328df57bde39e61cbcab7c594f2f89)] -> name: Email]
2022-05-15 12:05:306 INFO  RegisterPage :136 - Enter Password : [[ChromeDriver: chrome on WINDOWS (6d328df57bde39e61cbcab7c594f2f89)] -> id: Password]
2022-05-15 12:05:363 INFO  RegisterPage :143 - Enter Confirm password : [[ChromeDriver: chrome on WINDOWS (6d328df57bde39e61cbcab7c594f2f89)] -> id: ConfirmPassword]
2022-05-15 12:05:418 INFO  RegisterPage :148 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (6d328df57bde39e61cbcab7c594f2f89)] -> css selector: #register-button]
2022-05-15 12:05:128 INFO  RegisterPage :166 - Get your reg completed text : [[ChromeDriver: chrome on WINDOWS (6d328df57bde39e61cbcab7c594f2f89)] -> css selector: .result]
2022-05-15 12:05:751 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 12:05:666 INFO  HomePage :65 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (73c9cdd955613ec209f9165a7ea87246)] -> link text: Register]<br>
2022-05-15 12:05:154 INFO  RegisterPage :112 - Enter Firstname : 'Ron' to firstName field
2022-05-15 12:05:224 INFO  RegisterPage :118 - Enter Lastname : 'Jira' to lastName field
2022-05-15 12:05:401 INFO  RegisterPage :125 - Select day : '9', month : 'November', year : '1992'<br>
2022-05-15 12:05:414 INFO  RegisterPage :129 - Enter Email : 'rl111111111@gmail.com' to email field[[ChromeDriver: chrome on WINDOWS (73c9cdd955613ec209f9165a7ea87246)] -> name: Email]
2022-05-15 12:05:475 INFO  RegisterPage :136 - Enter Password : [[ChromeDriver: chrome on WINDOWS (73c9cdd955613ec209f9165a7ea87246)] -> id: Password]
2022-05-15 12:05:532 INFO  RegisterPage :143 - Enter Confirm password : [[ChromeDriver: chrome on WINDOWS (73c9cdd955613ec209f9165a7ea87246)] -> id: ConfirmPassword]
2022-05-15 12:05:587 INFO  RegisterPage :148 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (73c9cdd955613ec209f9165a7ea87246)] -> css selector: #register-button]
2022-05-15 12:05:396 INFO  RegisterPage :166 - Get your reg completed text : Proxy element for: DefaultElementLocator 'By.cssSelector: .result'
2022-05-15 12:05:886 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 12:05:707 INFO  HomePage :65 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (ea632a5725aab3bb63f4dfb00b9d2d13)] -> link text: Register]<br>
2022-05-15 12:05:203 INFO  RegisterPage :112 - Enter Firstname : 'Ron' to firstName field
2022-05-15 12:05:274 INFO  RegisterPage :118 - Enter Lastname : 'Jira' to lastName field
2022-05-15 12:05:461 INFO  RegisterPage :125 - Select day : '9', month : 'November', year : '1992'<br>
2022-05-15 12:05:475 INFO  RegisterPage :129 - Enter Email : 'rl11111111@gmail.com' to email field[[ChromeDriver: chrome on WINDOWS (ea632a5725aab3bb63f4dfb00b9d2d13)] -> name: Email]
2022-05-15 12:05:545 INFO  RegisterPage :136 - Enter Password : [[ChromeDriver: chrome on WINDOWS (ea632a5725aab3bb63f4dfb00b9d2d13)] -> id: Password]
2022-05-15 12:05:603 INFO  RegisterPage :143 - Enter Confirm password : [[ChromeDriver: chrome on WINDOWS (ea632a5725aab3bb63f4dfb00b9d2d13)] -> id: ConfirmPassword]
2022-05-15 12:05:659 INFO  RegisterPage :148 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (ea632a5725aab3bb63f4dfb00b9d2d13)] -> css selector: #register-button]
2022-05-15 12:05:348 INFO  RegisterPage :166 - Get your reg completed text : [[ChromeDriver: chrome on WINDOWS (ea632a5725aab3bb63f4dfb00b9d2d13)] -> css selector: .result]
2022-05-15 14:05:384 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 14:05:567 INFO  HomePage :100 - Click on 'Computers' tab <br>
2022-05-15 14:05:36 INFO  ComputerPage :35 - Get pageTitle text : [[ChromeDriver: chrome on WINDOWS (6bae9dbe4c57b3c399f7a04ed809aae8)] -> css selector: div[class='page-title'] h1]
2022-05-15 14:05:104 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 14:05:664 INFO  HomePage :100 - Click on 'Computers' tab <br>
2022-05-15 14:05:157 INFO  ComputerPage :44 - Click on '[[[ChromeDriver: chrome on WINDOWS (109286f967a2e6ded8f0a8c37c5aa094)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (109286f967a2e6ded8f0a8c37c5aa094)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (109286f967a2e6ded8f0a8c37c5aa094)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-05-15 14:05:749 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 14:05:230 INFO  HomePage :100 - Click on 'Computers' tab <br>
2022-05-15 14:05:714 INFO  ComputerPage :44 - Click on '[[[ChromeDriver: chrome on WINDOWS (5ec3907022ed8b124ed629bb3c8b2cbe)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (5ec3907022ed8b124ed629bb3c8b2cbe)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (5ec3907022ed8b124ed629bb3c8b2cbe)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-05-15 14:05:64 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 14:05:586 INFO  HomePage :100 - Click on 'Computers' tab <br>
2022-05-15 14:05:50 INFO  ComputerPage :44 - Click on '[[[ChromeDriver: chrome on WINDOWS (effb113b4024085924d660c1fa26d3a1)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (effb113b4024085924d660c1fa26d3a1)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (effb113b4024085924d660c1fa26d3a1)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-05-15 15:05:575 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 15:05:49 INFO  HomePage :100 - Click on 'Computers' tab <br>
2022-05-15 15:05:478 INFO  ComputerPage :45 - Click on '[[[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-05-15 15:05:558 INFO  BuildYourOwnComputerPage :65 - Select processor '[[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> id: product_attribute_1]
2022-05-15 15:05:615 INFO  BuildYourOwnComputerPage :71 - Select RAM '[[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> id: product_attribute_2]
2022-05-15 15:05:668 INFO  BuildYourOwnComputerPage :79 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-05-15 15:05:721 INFO  BuildYourOwnComputerPage :90 - Select Os '[[[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-05-15 15:05:772 INFO  BuildYourOwnComputerPage :101 - Select Software '[[[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-05-15 15:05:811 INFO  BuildYourOwnComputerPage :110 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (402296cd89617e46bb403d0dd78c2544)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-15 15:05:222 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 15:05:165 INFO  HomePage :100 - Click on 'Computers' tab <br>
2022-05-15 15:05:646 INFO  ComputerPage :45 - Click on '[[[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-05-15 15:05:760 INFO  BuildYourOwnComputerPage :65 - Select processor '[[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> id: product_attribute_1]
2022-05-15 15:05:822 INFO  BuildYourOwnComputerPage :71 - Select RAM '[[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> id: product_attribute_2]
2022-05-15 15:05:874 INFO  BuildYourOwnComputerPage :79 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-05-15 15:05:926 INFO  BuildYourOwnComputerPage :90 - Select Os '[[[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-05-15 15:05:976 INFO  BuildYourOwnComputerPage :101 - Select Software '[[[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-05-15 15:05:15 INFO  BuildYourOwnComputerPage :110 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-15 15:05:867 INFO  BuildYourOwnComputerPage :117 - Get productAdded Message : [[ChromeDriver: chrome on WINDOWS (1dc080b0e17cbe8af2aa35e0e76c13be)] -> xpath: //p[@class='content']]
2022-05-15 15:05:131 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 15:05:765 INFO  HomePage :100 - Click on 'Computers' tab <br>
2022-05-15 15:05:279 INFO  ComputerPage :45 - Click on '[[[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-05-15 15:05:392 INFO  BuildYourOwnComputerPage :65 - Select processor '[[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> id: product_attribute_1]
2022-05-15 15:05:452 INFO  BuildYourOwnComputerPage :71 - Select RAM '[[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> id: product_attribute_2]
2022-05-15 15:05:503 INFO  BuildYourOwnComputerPage :79 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-05-15 15:05:556 INFO  BuildYourOwnComputerPage :90 - Select Os '[[[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-05-15 15:05:609 INFO  BuildYourOwnComputerPage :101 - Select Software '[[[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-05-15 15:05:648 INFO  BuildYourOwnComputerPage :110 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-15 15:05:491 INFO  BuildYourOwnComputerPage :117 - Get productAdded Message : [[ChromeDriver: chrome on WINDOWS (617f700f6859fdda8bd2064ef07b3a51)] -> xpath: //p[@class='content']]
2022-05-15 15:05:107 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 15:05:518 INFO  HomePage :100 - Click on 'Computers' tab <br>
2022-05-15 15:05:40 INFO  ComputerPage :45 - Click on '[[[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-05-15 15:05:153 INFO  BuildYourOwnComputerPage :65 - Select processor '[[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> id: product_attribute_1]
2022-05-15 15:05:212 INFO  BuildYourOwnComputerPage :71 - Select RAM '[[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> id: product_attribute_2]
2022-05-15 15:05:274 INFO  BuildYourOwnComputerPage :79 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-05-15 15:05:333 INFO  BuildYourOwnComputerPage :90 - Select Os '[[[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-05-15 15:05:394 INFO  BuildYourOwnComputerPage :101 - Select Software '[[[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-05-15 15:05:433 INFO  BuildYourOwnComputerPage :110 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-15 15:05:329 INFO  BuildYourOwnComputerPage :117 - Get productAdded Message : [[ChromeDriver: chrome on WINDOWS (cb205d2cb0aeefe2b6e52d8ce06b5ba3)] -> xpath: //p[@class='content']]
2022-05-15 15:05:939 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 15:05:800 INFO  HomePage :100 - Click on 'Computers' tab <br>
2022-05-15 15:05:370 INFO  ComputerPage :45 - Click on '[[[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-05-15 15:05:494 INFO  BuildYourOwnComputerPage :65 - Select processor '[[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> id: product_attribute_1]
2022-05-15 15:05:549 INFO  BuildYourOwnComputerPage :71 - Select RAM '[[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> id: product_attribute_2]
2022-05-15 15:05:602 INFO  BuildYourOwnComputerPage :79 - Select HDD '[[[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-05-15 15:05:733 INFO  BuildYourOwnComputerPage :101 - Select Software '[[[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-05-15 15:05:776 INFO  BuildYourOwnComputerPage :110 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-15 15:05:672 INFO  BuildYourOwnComputerPage :117 - Get productAdded Message : [[ChromeDriver: chrome on WINDOWS (279f4c270bc885c46dfd8344d3712c81)] -> xpath: //p[@class='content']]
